,id,country,ccode,year,region,protest,protestnumber,protesterviolence,location,participants_category,participants,protesteridentity,arrests,accomodation,beatings,crowddispersal,ignore,killings,no_response,shootings,labor_wage_dispute,land_farm_issue,no_demands,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,start_date,end_date
3510,2052003034,Ireland,205,2003,Europe,1,34,0.0,Mosney,50-99,70,asylum seekers,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2003-11-11,2003-11-11
3511,2052003035,Ireland,205,2003,Europe,1,35,0.0,Dublin,100-999,100+,siptu,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2003-11-24,2003-11-24
3512,2052003036,Ireland,205,2003,Europe,1,36,0.0,Nenagh,50-99,50+,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2003-11-29,2003-11-29
3513,2052003037,Ireland,205,2003,Europe,1,37,0.0,Tipperary,>10000,15000,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2003-11-29,2003-11-29
3514,2052003038,Ireland,205,2003,Europe,1,38,0.0,Dublin,50-99,50+,students,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2003-12-03,2003-12-03
3515,2052003039,Ireland,205,2003,Europe,1,39,0.0,Shannon,100-999,300,anti war protesters,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2003-12-06,2003-12-06
3516,2052003040,Ireland,205,2003,Europe,1,40,0.0,Galway,100-999,100s,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2003-12-13,2003-12-13
3517,2052004001,Ireland,205,2004,Europe,1,1,0.0,Sligo,100-999,200+,farmers,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-01-11,2004-01-11
3518,2052004002,Ireland,205,2004,Europe,1,2,0.0,Galway,100-999,100s,protesters,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,2004-01-16,2004-01-16
3519,2052004003,Ireland,205,2004,Europe,1,3,0.0,Dublin,50-99,50+,students,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-02-17,2004-02-17
3520,2052004004,Ireland,205,2004,Europe,1,4,0.0,Ballinamore,100-999,150,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-03-03,2004-03-03
3521,2052004005,Ireland,205,2004,Europe,1,5,0.0,Waterford,5000-10000,7000,waterford council of trade unions,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-03-19,2004-03-19
3522,2052004006,Ireland,205,2004,Europe,1,6,0.0,Dublin,50-99,50+,"ngo peace alliance, peace and neutrality alliance",0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-03-20,2004-03-20
3523,2052004007,Ireland,205,2004,Europe,1,7,0.0,Dublin,100-999,100,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-04-28,2004-04-28
3524,2052004008,Ireland,205,2004,Europe,1,8,0.0,Dublin,100-999,200,irish nurses ?? organization,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-05-01,2004-05-01
3525,2052004009,Ireland,205,2004,Europe,1,9,1.0,Dublin,1000-1999,1500,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-05-01,2004-05-01
3526,2052004010,Ireland,205,2004,Europe,1,10,0.0,Dublin,100-999,100s,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-05-03,2004-05-03
3527,2052004011,Ireland,205,2004,Europe,1,11,0.0,Limerick,100-999,200,nct action group,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-05-30,2004-05-30
3528,2052004012,Ireland,205,2004,Europe,1,12,0.0,Dublin to Cork,100-999,200,protesters,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2004-06-04,2004-06-04
3529,2052004013,Ireland,205,2004,Europe,1,13,0.0,Castlebar,5000-10000,5000,protesters,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2004-06-05,2004-06-05
3530,2052004014,Ireland,205,2004,Europe,1,14,0.0,Dublin,100-999,100,ambush,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-06-19,2004-06-19
3531,2052004015,Ireland,205,2004,Europe,1,15,0.0,"Dublin, Shannon, Galway",>10000,13000+,irish anti war alliance,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2004-06-25,2004-06-25
3532,2052004016,Ireland,205,2004,Europe,1,16,0.0,Connemara,50-99,80,children,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-07-15,2004-07-15
3533,2052004017,Ireland,205,2004,Europe,1,17,0.0,Cork,50-99,50,erris action group,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-08-19,2004-08-19
3534,2052004018,Ireland,205,2004,Europe,1,18,0.0,"Cork, Michelstown",1000-1999,1000,protesters,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2004-08-20,2004-08-20
3535,2052004019,Ireland,205,2004,Europe,1,19,0.0,"Dublin, Shannon, Galway",100-999,200,travellers,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-10-06,2004-10-06
3536,2052004020,Ireland,205,2004,Europe,1,20,0.0,Dublin,100-999,100,travellers,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2004-10-07,2004-10-07
3537,2052004021,Ireland,205,2004,Europe,1,21,0.0,Dublin,100-999,150,travellers,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2004-10-08,2004-10-08
3538,2052004022,Ireland,205,2004,Europe,1,22,0.0,"Dublin, Cork",100-999,100s,union of students in ireland usi,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-10-12,2004-10-12
3539,2052004023,Ireland,205,2004,Europe,1,23,0.0,Galway Mayo border,100-999,180,householders from the belmont and dalgan schemes,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-10-13,2004-10-13
3540,2052004024,Ireland,205,2004,Europe,1,24,0.0,Limerick,1000-1999,1000+,union of students in ireland usi,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-10-13,2004-10-13
3541,2052004025,Ireland,205,2004,Europe,1,25,0.0,Dublin,50-99,50+,families of patients,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-10-17,2004-10-17
3542,2052004026,Ireland,205,2004,Europe,1,26,0.0,Dublin,100-999,200,patients together,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2004-10-30,2004-10-30
3543,2052004027,Ireland,205,2004,Europe,1,27,0.0,Dublin,5000-10000,8000,communications workers union,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,2004-12-08,2004-12-08
3544,2052005001,Ireland,205,2005,Europe,1,1,0.0,Killarney,50-99,50+,anglers,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-01-17,2005-01-17
3545,2052005002,Ireland,205,2005,Europe,1,2,0.0,Carlow,50-99,50+,farmers and workers,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-01-25,2005-01-25
3546,2052005003,Ireland,205,2005,Europe,1,3,0.0,Dublin,100-999,800,dublin council of trade unions,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,2005-02-26,2005-02-26
3547,2052005004,Ireland,205,2005,Europe,1,4,0.0,Dublin,50-99,50+,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-03-23,2005-03-23
3548,2052005005,Ireland,205,2005,Europe,1,5,0.0,"Dublin, Cork, Roscommon",50-99,50+,irish nurses organisation ino,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-04-12,2005-04-12
3549,2052005006,Ireland,205,2005,Europe,1,6,0.0,Dublin,100-999,250,nigerian fathers of irish born citizens,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-04-14,2005-04-14
3550,2052005007,Ireland,205,2005,Europe,1,7,0.0,Dublin,50-99,50+,nigerians,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-04-19,2005-04-19
3551,2052005008,Ireland,205,2005,Europe,1,8,0.0,"Dublin, Drogheda, Letterkenny, Cork",100-999,520+,irish nurses ?? organization iso,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-04-21,2005-04-21
3552,2052005009,Ireland,205,2005,Europe,1,9,0.0,Dublin,100-999,100+,prison officers and families,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-05-17,2005-05-17
3553,2052005010,Ireland,205,2005,Europe,1,10,0.0,Dublin,50-99,90,residents,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-06-01,2005-06-01
3554,2052005011,Ireland,205,2005,Europe,1,11,0.0,Waterford,50-99,50+,kathy sinnott mep,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,2005-06-03,2005-06-03
3555,2052005012,Ireland,205,2005,Europe,1,12,0.0,Dublin,1000-1999,1000+,protesters,0,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,2005-06-09,2005-06-09
3556,2052005013,Ireland,205,2005,Europe,1,13,0.0,Dublin,100-999,600+,union of students in ireland usi,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-06-11,2005-06-11
3557,2052005014,Ireland,205,2005,Europe,1,14,0.0,Dublin,2000-4999,2500,save our seafront,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-06-12,2005-06-12
3558,2052005015,Ireland,205,2005,Europe,1,15,0.0,Dublin,50-99,50+,students,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-06-16,2005-06-16
3559,2052005016,Ireland,205,2005,Europe,1,16,0.0,Dublin,100-999,250,residents against racism,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-06-19,2005-06-19
3560,2052005017,Ireland,205,2005,Europe,1,17,0.0,Dublin,>10000,20000,make poverty history,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-06-30,2005-06-30
3561,2052005018,Ireland,205,2005,Europe,1,18,0.0,Mayo and Dublin,100-999,100s,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-06-30,2005-06-30
3562,2052005019,Ireland,205,2005,Europe,1,19,0.0,Mayo,1000-1999,1500+,protesters,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2005-07-03,2005-07-03
3563,2052005020,Ireland,205,2005,Europe,1,20,0.0,Mayo,1000-1999,1000+,irish cattle and sheep farmers ?? association icsa,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-07-08,2005-07-08
3564,2052005021,Ireland,205,2005,Europe,1,21,0.0,Galway,100-999,300,parents and students,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-08-20,2005-08-20
3565,2052005022,Ireland,205,2005,Europe,1,22,0.0,Dun Laoghaire,2000-4999,4000,residents and save our seafront sos,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-09-18,2005-09-18
3566,2052005023,Ireland,205,2005,Europe,1,23,0.0,Shannon,100-999,200,anti war activists,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-09-24,2005-09-24
3567,2052005024,Ireland,205,2005,Europe,1,24,0.0,Mayo,50-99,50+,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-09-25,2005-09-25
3568,2052005025,Ireland,205,2005,Europe,1,25,0.0,Kinnegad,100-999,300,madd midlands against dirty developments,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-10-08,2005-10-08
3569,2052005026,Ireland,205,2005,Europe,1,26,0.0,Dublin,5000-10000,10000,siptu,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2005-11-03,2005-11-03
3570,2052005027,Ireland,205,2005,Europe,1,27,0.0,Mallow,2000-4999,2500,beet farmers,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,2005-11-20,2005-11-20
3571,2052005028,Ireland,205,2005,Europe,1,28,0.0,Dublin,100-999,120,residents against racism,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-12-05,2005-12-05
3572,2052005029,Ireland,205,2005,Europe,1,29,0.0,Dublin,>10000,40000,protesters,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,2005-12-09,2005-12-09
3573,2052006001,Ireland,205,2006,Europe,1,1,0.0,Limerick,50-99,50+,residents,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-01-15,2006-01-15
3574,2052006002,Ireland,205,2006,Europe,1,2,0.0,Enfield,50-99,64+,irish haulage association,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,2006-01-16,2006-01-16
3575,2052006003,Ireland,205,2006,Europe,1,3,0.0,Galway,100-999,100+,workers,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2006-01-24,2006-01-24
3576,2052006004,Ireland,205,2006,Europe,1,4,0.0,"Dublin, Cork, Waterford, Galway,",100-999,100s,fishermen,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-02-03,2006-02-03
3577,2052006005,Ireland,205,2006,Europe,1,5,0.0,Tranmore,100-999,100,residents,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,2006-02-08,2006-02-08
3578,2052006006,Ireland,205,2006,Europe,1,6,0.0,Dun Laoghaire,100-999,100,protesters,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2006-02-13,2006-02-13
3579,2052006007,Ireland,205,2006,Europe,1,7,0.0,Dublin,50-99,60,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-02-17,2006-02-17
3580,2052006008,Ireland,205,2006,Europe,1,8,0.0,Dublin,50-99,60,protesters,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2006-02-22,2006-02-22
3581,2052006009,Ireland,205,2006,Europe,1,9,1.0,Dublin,100-999,100s,irish republican army supporters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-02-25,2006-02-25
3582,2052006010,Ireland,205,2006,Europe,1,10,0.0,Dublin,100-999,120,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-03-04,2006-03-04
3583,2052006011,Ireland,205,2006,Europe,1,11,0.0,Dublin,100-999,200,home help workers,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2006-03-13,2006-03-13
3584,2052006012,Ireland,205,2006,Europe,1,12,0.0,Shannon,50-99,50+,protesters,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2006-03-15,2006-03-15
3585,2052006013,Ireland,205,2006,Europe,1,13,0.0,Dublin,100-999,600,anti war protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-03-18,2006-03-18
3586,2052006014,Ireland,205,2006,Europe,1,14,0.0,Cork,100-999,100,asylum seekers,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2006-03-29,2006-03-29
3587,2052006015,Ireland,205,2006,Europe,1,15,0.0,Waterford,1000-1999,1000,"teachers, parents, pupils",0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-03-29,2006-03-29
3588,2052006016,Ireland,205,2006,Europe,1,16,0.0,Dublin,50-99,70+,hauliers,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,2006-04-05,2006-04-05
3589,2052006017,Ireland,205,2006,Europe,1,17,0.0,Ringsend,100-999,300,combined residents against incineration crai,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-04-08,2006-04-08
3590,2052006018,Ireland,205,2006,Europe,1,18,0.0,Dublin,100-999,200,patients together,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-04-14,2006-04-14
3591,2052006019,Ireland,205,2006,Europe,1,19,0.0,Toomevara,100-999,350+,better environmental and safer telecommunications best,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-05-13,2006-05-13
3592,2052006020,Ireland,205,2006,Europe,1,20,0.0,Tralee,100-999,141,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-05-19,2006-05-19
3593,2052006021,Ireland,205,2006,Europe,1,21,0.0,Tralee,50-99,50+,protesters,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2006-05-20,2006-05-20
3594,2052006022,Ireland,205,2006,Europe,1,22,0.0,"Dublin, Galway, Wexford, Kilkenny, Dunboyne, Castlebar, Waterford, Tralee, Ennis, Limerick",2000-4999,3000+,protesters,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2006-06-02,2006-06-02
3595,2052006023,Ireland,205,2006,Europe,1,23,0.0,Cork,100-999,100s,sexual violence centre and gurranabraher residents association,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-06-10,2006-06-10
3596,2052006024,Ireland,205,2006,Europe,1,24,0.0,Dublin,50-99,50,parents and children,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-06-20,2006-06-20
3597,2052006025,Ireland,205,2006,Europe,1,25,0.0,Dublin,100-999,100+,irish anti war movement,0,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,2006-06-29,2006-06-29
3598,2052006026,Ireland,205,2006,Europe,1,26,0.0,"Dublin, Dalkey, Skankill",100-999,100s,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-07-12,2006-07-12
3599,2052006027,Ireland,205,2006,Europe,1,27,0.0,Tralee,50-99,60,asylum seekers,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-09-06,2006-09-08
3600,2052006028,Ireland,205,2006,Europe,1,28,0.0,Monaghan,5000-10000,7000,protesters,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2006-09-25,2006-09-25
3601,2052006029,Ireland,205,2006,Europe,1,29,0.0,Watergrasshill,50-99,80,residents,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-10-02,2006-10-02
3602,2052006030,Ireland,205,2006,Europe,1,30,0.0,Mayo,100-999,200,shell to sea,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2006-10-03,2006-10-03
3603,2052006031,Ireland,205,2006,Europe,1,31,0.0,Mayo,100-999,200,shell to sea,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2006-10-04,2006-10-04
3604,2052006032,Ireland,205,2006,Europe,1,32,0.0,Mayo,100-999,240,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-10-05,2006-10-05
3605,2052006033,Ireland,205,2006,Europe,1,33,0.0,Belmullet,100-999,100,shell to sea,1,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2006-10-12,2006-10-12
3606,2052006034,Ireland,205,2006,Europe,1,34,0.0,Mayo,100-999,200,shell to sea,1,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2006-11-10,2006-11-10
3607,2052006035,Ireland,205,2006,Europe,1,35,0.0,Dublin,100-999,200,shell to sea,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-12-02,2006-12-02
3608,2052006036,Ireland,205,2006,Europe,1,36,0.0,Meath,100-999,250,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-12-03,2006-12-03
3609,2052006037,Ireland,205,2006,Europe,1,37,0.0,Dublin,100-999,100s,monaghan county councillors and the monaghan hospital community alliance,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2006-12-05,2006-12-05
3610,2052006038,Ireland,205,2006,Europe,1,38,0.0,Dublin,100-999,200,travelers,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,2006-12-19,2006-12-19
3611,2052007001,Ireland,205,2007,Europe,1,1,0.0,Connemara,100-999,100,shell to sea,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-01-12,2007-01-12
3612,2052007002,Ireland,205,2007,Europe,1,2,0.0,Dublin,50-99,50+,failte ireland staff,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-01-15,2007-01-15
3613,2052007003,Ireland,205,2007,Europe,1,3,0.0,Dublin,2000-4999,3000,siptu,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2007-01-29,2007-01-29
3614,2052007004,Ireland,205,2007,Europe,1,4,0.0,Dublin,2000-4999,2000,trainee teachers,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-02-07,2007-02-07
3615,2052007005,Ireland,205,2007,Europe,1,5,1.0,Mayo,100-999,400,shell to sea,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-02-16,2007-02-16
3616,2052007006,Ireland,205,2007,Europe,1,6,0.0,Dublin,100-999,600+,shell to sea,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-02-24,2007-02-24
3617,2052007007,Ireland,205,2007,Europe,1,7,0.0,Cork,100-999,400,irish nurses ?? organisation ino and psychiatric nurses ?? association,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2007-02-26,2007-02-26
3618,2052007008,Ireland,205,2007,Europe,1,8,0.0,Donegal,100-999,200,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-04-01,2007-04-01
3619,2052007009,Ireland,205,2007,Europe,1,9,0.0,Dublin,50-99,50,parents and pupils,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-04-06,2007-04-06
3620,2052007010,Ireland,205,2007,Europe,1,10,0.0,Tipperary,100-999,350,irish nurses ?? organization ino and psychiatric nurses ?? association pna,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2007-04-11,2007-04-11
3621,2052007011,Ireland,205,2007,Europe,1,11,0.0,National,2000-4999,1000s,irish nurses ?? organization ino and psychiatric nurses ?? association pna,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2007-04-13,2007-04-13
3622,2052007012,Ireland,205,2007,Europe,1,12,0.0,"Dunkalk,Sligo, Bantry, Cork,",100-999,100s,irish nurses ?? organization ino and psychiatric nurses ?? association pna,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2007-04-17,2007-04-17
3623,2052007013,Ireland,205,2007,Europe,1,13,0.0,National,1000-1999,1000+,irish nurses ?? organization ino and psychiatric nurses ?? association pna,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2007-04-18,2007-04-18
3624,2052007014,Ireland,205,2007,Europe,1,14,0.0,Galway,100-999,150,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-04-23,2007-04-23
3625,2052007015,Ireland,205,2007,Europe,1,15,0.0,Galway,100-999,250,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-04-23,2007-04-23
3626,2052007016,Ireland,205,2007,Europe,1,16,0.0,Dublin,50-99,50+,free safe water,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-05-05,2007-05-05
3627,2052007017,Ireland,205,2007,Europe,1,17,0.0,Dublin,100-999,500,center for cannabis policy reform,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-05-06,2007-05-06
3628,2052007018,Ireland,205,2007,Europe,1,18,0.0,National,100-999,100s,irish nurses organisation ino and the psychiatric nurses association pna,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2007-05-09,2007-05-09
3629,2052007019,Ireland,205,2007,Europe,1,19,0.0,Dublin,1000-1999,1000,irish nurses organisation ino and the psychiatric nurses association pna,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2007-05-14,2007-05-14
3630,2052007020,Ireland,205,2007,Europe,1,20,1.0,Mayo,50-99,50,north mayo residents,1,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2007-06-11,2007-06-11
3631,2052007021,Ireland,205,2007,Europe,1,21,0.0,Dublin,100-999,500,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-07-21,2007-07-21
3632,2052007022,Ireland,205,2007,Europe,1,22,0.0,Dublin,50-99,50+,livestock farmers,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-07-25,2007-07-25
3633,2052007023,Ireland,205,2007,Europe,1,23,0.0,Mayo,100-999,100+,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-08-28,2007-08-28
3634,2052007024,Ireland,205,2007,Europe,1,24,1.0,Mayo,100-999,200,protesters,1,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2007-09-14,2007-09-14
3635,2052007025,Ireland,205,2007,Europe,1,25,0.0,Dublin,100-999,100,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-09-15,2007-09-15
3636,2052007026,Ireland,205,2007,Europe,1,26,0.0,County Meath,100-999,100s,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-09-23,2007-09-23
3637,2052007027,Ireland,205,2007,Europe,1,27,0.0,Ennis,5000-10000,5000,clare cancer concern group and ennis general hospital development committee,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-09-29,2007-09-29
3638,2052007028,Ireland,205,2007,Europe,1,28,0.0,Limerick,2000-4999,4000,tipperary north and limerick city and country,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-10-20,2007-10-20
3639,2052007029,Ireland,205,2007,Europe,1,29,0.0,Cork,100-999,100,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-10-22,2007-10-22
3640,2052007030,Ireland,205,2007,Europe,1,30,0.0,Sligo,2000-4999,1000s,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-10-25,2007-10-25
3641,2052007031,Ireland,205,2007,Europe,1,31,0.0,Castelbar,5000-10000,7000,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-10-28,2007-10-28
3642,2052007032,Ireland,205,2007,Europe,1,32,0.0,Dublin,100-999,200,kurdish community,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-10-30,2007-10-30
3643,2052007033,Ireland,205,2007,Europe,1,33,0.0,Cork,50-99,50+,parents of children with diabetes,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-10-31,2007-10-31
3644,2052007034,Ireland,205,2007,Europe,1,34,0.0,Mayo,100-999,300,protesters,1,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2007-11-09,2007-11-09
3645,2052007035,Ireland,205,2007,Europe,1,35,0.0,Dublin,100-999,300,drivers of dublin bus,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2007-11-14,2007-11-14
3646,2052007036,Ireland,205,2007,Europe,1,36,0.0,Dublin,100-999,250,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-11-21,2007-11-21
3647,2052007037,Ireland,205,2007,Europe,1,37,0.0,Dublin,50-99,50+,shell to sea,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-11-21,2007-11-21
3648,2052007038,Ireland,205,2007,Europe,1,38,0.0,Dublin,100-999,100,people before profit,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-12-15,2007-12-15
3649,2052007039,Ireland,205,2007,Europe,1,39,0.0,Oranmore,50-99,50+,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-12-15,2007-12-15
3650,2052007040,Ireland,205,2007,Europe,1,40,0.0,Tralee,100-999,150,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-12-23,2007-12-23
3651,2052007041,Ireland,205,2007,Europe,1,41,0.0,County Meath,2000-4999,2000+,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-12-30,2007-12-30
3652,2052008001,Ireland,205,2008,Europe,1,1,0.0,Dublin,50-99,50+,fishermen,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,2008-05-30,2008-05-30
